coverage;ecli;id;issued;procedure;spatial;subject;summary;title;type
NL;ECLI:NL:RBAMS:2023:2044;vhghedbh-2zde-bx66-som5-7wkuze8j5c7c;27/07/2023;Wraking;Amsterdam;Civiel recht;De rechtszaak tegen FoodWorld Inc. draaide om beschuldigingen van misleidende reclamepraktijken en onjuiste productetikettering. Consumenten beweerden dat het bedrijf de voedingswaarde van hun producten had overdreven en essentiële informatie had weggelaten op etiketten. Het proces onthulde bewijs van misleidende marketingtactieken en onvolledige informatie. FoodWorld Inc. werd schuldig bevonden en kreeg boetes opgelegd, wat de noodzaak van eerlijke en transparante consumenteninformatie benadrukte.;ECLI:NL:RBAMS:2023:2044, Amsterdam, 2023-07-27;Uitspraak
NL;ECLI:NL:RBAMS:2023:1796;1qfv27gv-5duz-tewc-j9w4-d9l5negf1lyc;24/05/2023;Wraking;Amsterdam;Civiel recht;De rechtszaak tegen acteur Jason Roberts betrof beschuldigingen van vermeend wangedrag en intimidatie op de set van een populaire filmproductie. Verschillende medewerkers van de film beweerden dat Roberts zich ongepast gedroeg en een vijandige werkomgeving had gecreëerd. Het proces bracht getuigenissen van getuigen en filmcrewleden naar voren en leidde tot een bewustwording over het belang van een veilige en respectvolle werkomgeving in de entertainmentindustrie.;ECLI:NL:RBAMS:2023:1796, Amsterdam, 2023-05-24;Uitspraak
NL;ECLI:NL:RBAMS:2023:3053;ke1a8285-06uj-nvx8-hf0x-7tek3qmgtfsh;27/01/2023;Hoger beroep;Amsterdam;Civiel recht;De rechtszaak tegen DataGuard Technologies draaide om beschuldigingen van onrechtmatige gegevensverzameling en schending van de privacy van gebruikers van hun producten. Gebruikers beweerden dat het bedrijf heimelijk persoonlijke gegevens verzamelde en deze voor commerciële doeleinden gebruikte zonder toestemming. Het proces bracht technologische experts en privacydeskundigen naar voren om de inbreuk op de privacy aan te tonen. DataGuard Technologies werd schuldig bevonden en bevolen om strenge privacybeschermingsmaatregelen te implementeren.;ECLI:NL:RBAMS:2023:3053, Amsterdam, 2023-01-27;Uitspraak
NL;ECLI:NL:RBAMS:2023:2966;glgewox9-jbt0-s9gd-u127-y54a6o3mztdk;16/03/2023;Hoger beroep;Amsterdam;Civiel recht;Het voogdijgeschil over de jonge wees, Emily, ging tussen familieleden en pleegouders die haar liefdevol hadden opgevoed sinds het overlijden van haar ouders. Beide partijen beweerden dat ze het beste belang van Emily voor ogen hadden, wat leidde tot een emotionele juridische strijd. Het proces omvatte getuigenissen van psychologen en betrokkenen bij de zaak. Uiteindelijk werd besloten dat de pleegouders de permanente voogdij zouden krijgen, waardoor de stabiliteit van Emily's leven werd gewaarborgd.;ECLI:NL:RBAMS:2023:2966, Amsterdam, 2023-03-16;Uitspraak
NL;ECLI:NL:RBAMS:2023:9200;b5im3rv6-kpa4-0t30-bood-my3n9m7kdc0w;24/05/2023;Kort geding;Amsterdam;Civiel recht;De rechtszaak tegen muziekproducent Kevin Johnson betrof beschuldigingen van plagiaat en inbreuk op auteursrecht met betrekking tot een bekend hitnummer. Andere muzikanten beweerden dat Johnson delen van hun muziek zonder toestemming had gebruikt in een van zijn producties. Het proces omvatte muzikale experts en juridische specialisten die de overeenkomsten in de muziek analyseerden. Johnson werd schuldig bevonden aan inbreuk op auteursrecht en werd gedwongen om schadevergoeding te betalen aan de getroffen artiesten.;ECLI:NL:RBAMS:2023:9200, Amsterdam, 2023-05-24;Uitspraak
NL;ECLI:NL:RBAMS:2023:8111;oplo6ibh-4hyv-0r7t-t8as-arl8hi0c25sa;23/09/2023;Wraking;Amsterdam;Civiel recht;De rechtszaak tegen TechGuard Inc. draaide om beschuldigingen van ongeoorloofde gegevensverzameling en inbreuk op de privacy van gebruikers van hun apps en diensten. Gebruikers beweerden dat het bedrijf persoonlijke gegevens had verzameld en gedeeld zonder hun toestemming. Het proces bracht privacy-experts en technologische getuigen naar voren om de inbreuk op de privacy aan te tonen. TechGuard Inc. werd schuldig bevonden en bevolen om strenge privacybeschermingsmaatregelen te implementeren.;ECLI:NL:RBAMS:2023:8111, Amsterdam, 2023-09-23;Uitspraak
NL;ECLI:NL:RBAMS:2023:8016;fne6p5lo-cnuq-u3nn-zpw5-v76wul2fsog1;31/08/2023;Wraking;Amsterdam;Civiel recht;De rechtszaak tegen senator Robert Owens was politiek explosief. Owens werd beschuldigd van omkoping en corruptie in verband met overheidscontracten en wetgeving. Het proces onthulde financiële onregelmatigheden, geheime overeenkomsten en documenten die zijn betrokkenheid bij corruptie aantoonden. Ondanks hevige politieke druk werd Owens schuldig bevonden en uit zijn ambt gezet, wat een belangrijke mijlpaal was in de strijd tegen corruptie in de politiek.;ECLI:NL:RBAMS:2023:8016, Amsterdam, 2023-08-31;Uitspraak
NL;ECLI:NL:RBAMS:2023:3481;vrgc1whk-tiri-2dzq-qh40-7oxzb170wsun;24/08/2023;Wraking;Amsterdam;Civiel recht;De rechtszaak tegen GreenVista Developers betrof beschuldigingen van schending van bouwvoorschriften en milieuregels bij de ontwikkeling van een groot vastgoedproject. Milieugroepen en buurtbewoners beweerden dat het bedrijf onherstelbare schade had toegebracht aan lokale ecosystemen en natuurlijke hulpbronnen. Het proces bracht bewijsmateriaal en getuigenissen van milieu-experts naar voren. GreenVista Developers werd schuldig bevonden en bevolen om milieureparaties uit te voeren en aanzienlijke boetes te betalen.;ECLI:NL:RBAMS:2023:3481, Amsterdam, 2023-08-24;Uitspraak
NL;ECLI:NL:RBAMS:2023:7921;yb87px43-jnwq-7pn5-cbce-gpxsbdij1vjf;06/09/2023;Hoger beroep;Amsterdam;Civiel recht;De rechtszaak tegen HealthMed Solutions betrof beschuldigingen van het op de markt brengen van geneesmiddelen zonder voldoende veiligheidstests, wat leidde tot ernstige gezondheidsproblemen bij patiënten. Patiënten beweerden dat het bedrijf winst boven veiligheid had gesteld. Het proces onthulde interne documenten en getuigenissen van medische experts die de beschuldigingen ondersteunden. HealthMed Solutions werd schuldig bevonden en kreeg aanzienlijke boetes opgelegd, waardoor de noodzaak van strenge regulering in de farmaceutische industrie werd benadrukt.;ECLI:NL:RBAMS:2023:7921, Amsterdam, 2023-09-06;Uitspraak
NL;ECLI:NL:RBAMS:2023:3094;qkqalzax-a72d-qqsv-y5y2-1y7l8bzt7ghw;26/06/2023;Hoger beroep;Amsterdam;Civiel recht;De rechtszaak tegen MarketConnect Inc. betrof beschuldigingen van medeplichtigheid aan illegale verkoop en fraude op hun platform. Consumenten beweerden dat het bedrijf onvoldoende maatregelen had genomen om frauduleuze verkopers en oplichting te voorkomen. Het proces bracht getuigenissen van slachtoffers en beveiligingsexperts naar voren. MarketConnect Inc. werd schuldig bevonden en bevolen om strengere veiligheidsmaatregelen te implementeren en schadevergoeding te betalen aan de getroffen consumenten.;ECLI:NL:RBAMS:2023:3094, Amsterdam, 2023-06-26;Uitspraak
